title,director,year,country,critic_score,user_score,poster,rt_url
Killer Pad,Robert Englund,2008,United States,,,,
Lake Mungo,Joel Anderson,2008,Australia,,,,
Last of the Living,Logan McMillan,2008,New Zealand,,21%,https://resizing.flixster.com/6-k0KpAGrFbbPoyo86cUamHGRik=/206x305/v1.bTsxMTIzOTY5NztqOzE3MzIwOzEyMDA7MTUwNzsyMTQ0,https://rottentomatoes.com/m/last_of_the_living
Left Bank,Pieter Van Hees,2008,Belgium,80,40%,https://resizing.flixster.com/gWRBu04ThbHy95Kp2F89hfVvzQA=/206x305/v1.bTsxMTU1MDIyMjtqOzE3MzIzOzEyMDA7MzkwOzU1MQ,https://rottentomatoes.com/m/left_bank
Let the Right One In,Tomas Alfredson,2008,Sweden,98,90%,https://resizing.flixster.com/iQV0pmUTw26XebhmLtH_iKGueWE=/206x305/v1.bTsxMTMwNDA4OTtqOzE3MzIwOzEyMDA7MjE4MTsyOTA4,https://rottentomatoes.com/m/let_the_right_one_in
Live Animals,Jeremy Benson,2008,United States,,27%,https://resizing.flixster.com/4vUGAsGZCWbhzDFGuynQOcOY8Jk=/206x305/v1.bTsxMTIzOTk2MztqOzE3MzIwOzEyMDA7MTUzNDsyMTcx,https://rottentomatoes.com/m/live_animals
Loner,Park Jae-sik,2008,South Korea,,33%,https://resizing.flixster.com/co6Oa4wU9EWCa2VKhUbwQrTq5sk=/206x305/v1.bTsxMjE5NTk0OTtqOzE3Mjg2OzEyMDA7MTAwMDsxNDI1,https://rottentomatoes.com/m/loner
Long Weekend,Jamie Blanks,2008,Australia,0,15%,https://resizing.flixster.com/GUonbEyv9IBMdx6RHsUmtS10xKw=/206x305/v1.bTsxMTMxMzU1MTtqOzE3MzIwOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/long_weekend_2008
Lost Boys: The Tribe,P.J. Pesce,2008,United States,0,25%,https://resizing.flixster.com/CFn2cDyGP7Yzrw5ACVyOO6UvogY=/206x305/v1.bTsxMTIzMjY3NTtqOzE3MzIwOzEyMDA7MTQ0NjsxOTI4,https://rottentomatoes.com/m/lost_boys_the_tribe
Loved Ones,Shawn Cain,2008,United States,,,,
The Machine Girl,Noboru Iguchi,2008,United States & Japan,63,62%,https://resizing.flixster.com/Mdk6rnDwHOuqsQlmuqb6QrYbh_k=/206x305/v1.bTsxMTIyMjkzMTtqOzE3MzE5OzEyMDA7MTI5NjsxNzI4,https://rottentomatoes.com/m/the_machine_girl
Magus,John Lechago,2008,United States,,,https://resizing.flixster.com/QALJneAIn_cDVg1uKpEYy46qzEI=/206x305/v1.bTsxMjE4NDE3ODtqOzE3Mjg2OzEyMDA7MTQ0OzIzOQ,https://rottentomatoes.com/m/magus
Make-out with Violence,Deagol Brothers,2008,United States,,,,
Mam&aacute;,Andr&eacute;s Muschietti,2008,Spain,,,,
Manhunt,Patrik Syversen,2008,Norway,,11%,https://staticv2-4.rottentomatoes.com/static/images/redesign/poster_default.gif,https://rottentomatoes.com/m/manhunt
Martyrs,Pascal Laugier,2008,France & Canada,53,69%,https://resizing.flixster.com/nGrdXlr3TQcbiPuF02TcyZIc4zI=/206x305/v1.bTsxMTIzNDE5ODtqOzE3MzIwOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/martyrs
The Midnight Meat Train,Ryuhei Kitamura,2008,United States,72,50%,https://resizing.flixster.com/4WV3BAL_1WrNvFFO0cDUBugu7mA=/206x305/v1.bTsxMTIyMjE5NjtqOzE3MzE5OzEyMDA7MTQ3NjsxOTY4,https://rottentomatoes.com/m/the_midnight_meat_train
Midnight Movie,Jack Messitt,2008,United States,,29%,https://resizing.flixster.com/Xr-HQCWo8LUb3n6Dei3mO7bxWVM=/206x305/v1.bTsxMTIzNjA4MjtqOzE3MzIwOzEyMDA7MTUyNzsyMDM2,https://rottentomatoes.com/m/midnight_movie
Mirrors,Alexandre Aja,2008,United States,14,44%,https://resizing.flixster.com/PbSd1w1KMtw--12dCFKfdmHn5QQ=/206x305/v1.bTsxMTIzMTk2NDtqOzE3MzE5OzEyMDA7MTkyMDsyNTYw,https://rottentomatoes.com/m/1197016-mirrors
Monster,Erik Estenberg,2008,United States,,11%,https://resizing.flixster.com/QIMZc4Ujx2vhxP9ID1jPQpxJ7gU=/206x305/v1.bTsxMjEyMDQwMTtqOzE3Mjg1OzEyMDA7MTUyMzsyMTYz,https://rottentomatoes.com/m/1190155-monster
Monster from Bikini Beach,Darin Wood,2008,United States,,,https://resizing.flixster.com/TDs40Qo5GwWKKRxX8k_71foocv8=/206x305/v1.bTsxMTE3OTg1MjtqOzE3MzE5OzEyMDA7MjE0OzMxNw,https://rottentomatoes.com/m/monster_from_bikini_beach
Mud Zombies,Rodrigo Arag&atilde;o,2008,Brazil,,40%,https://resizing.flixster.com/5RcoSKJDAfwB8ncdlS_xt5lRmGY=/206x305/v1.bTsxMTU1ODYyNjtqOzE3MzIzOzEyMDA7NjAwOzc4Mw,https://rottentomatoes.com/m/mud_zombies
Murder Loves Killers Too,Drew Barnhardt,2008,United States,,,https://staticv2-4.rottentomatoes.com/static/images/redesign/poster_default.gif,https://rottentomatoes.com/m/murder_loves_killers_too
Mutant Vampire Zombies From the Hood,Thunder Levin,2008,United States,,32%,https://resizing.flixster.com/pRHc_bZC_m2WPEexKso1lMxxfTc=/206x305/v1.bTsxMTA2OTA2NjtqOzE3MzE4OzEyMDA7MTQ0OzE5Mg,https://rottentomatoes.com/m/mutant_vampire_zombies_from_the_hood
Mutants,Amir Valinia,2008,United States,,2%,https://resizing.flixster.com/Ya1IDrQn3L_jNXHDN-U73Unv1zU=/206x305/v1.bTsxMTIzNjcyNDtqOzE3MzIwOzEyMDA7MTQ2NDsxOTUy,https://rottentomatoes.com/m/mutants
Never Cry Werewolf,Brenton Spencer,2008,Canada,,43%,https://resizing.flixster.com/kjDy8rABBP4NfgDi1UKbwaCnMF4=/206x305/v1.bTsxMjIwNzM5NTtqOzE3Mjg2OzEyMDA7ODQxOzEyNDQ,https://rottentomatoes.com/m/never_cry_werewolf
Night Watcher,Will Gordh,2008,United States,,16%,https://resizing.flixster.com/eLLGB8TVFbXDa4l0ZeYzeOGMQoE=/206x305/v1.bTsxMTU1OTU1OTtqOzE3MzIzOzEyMDA7NjAyOzg2Mg,https://rottentomatoes.com/m/night_watcher
Nite Tales,Deon Taylor,2008,United States,,39%,https://resizing.flixster.com/kkWdpVUFXzNvTLUQKayGuPjmHhA=/206x305/v1.bTsxMTU1NTEyMDtqOzE3MzIzOzEyMDA7MTUxMzsyMTY4,https://rottentomatoes.com/m/nite_tales
Nu-Meri: Book of the New Spawn,Y&ucirc;ichi Kanemaru,2008,Japan,,,,
O.C. Babes and the Slasher of Zombietown,Creep Creepersin,2008,United States,,0%,https://resizing.flixster.com/1R3LJRFm4aEv7T8W6CFwSfvlAVM=/206x305/v1.bTsxMTIzOTcyNTtqOzE3MzIwOzEyMDA7MTUxMjsyMTYy,https://rottentomatoes.com/m/oc_babes_and_the_slasher_of_zombietown
Offspring,Andrew Van Den Houten,2008,United States,,,,
Ogre,Steven R. Monroe,2008,Canada & United States,,12%,https://resizing.flixster.com/6ExQu0f3Hs5mrYBvaNP_glyrupo=/206x305/v1.bTsxMTIyNDUxODtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/1205775-ogre
One Missed Call,Eric Valette,2008,United States,0,29%,https://resizing.flixster.com/DMQ8Ejk0ZRQu-VO7h5tgG-Uto0w=/206x305/v1.bTsxMTIyMDUxNjtqOzE3MzE5OzEyMDA7NDA4Njs1NDQ4,https://rottentomatoes.com/m/one_missed_call
Onechanbara,Yohei Fukuda,2008,Japan,,,,
The Open Door,Doc Duhame,2008,United States,,14%,https://resizing.flixster.com/PW7teP07pNHAInyIker5fUzFolk=/206x305/v1.bTsxMTE4Njk2MztqOzE3MzE5OzEyMDA7Mjg0OzQwNQ,https://rottentomatoes.com/m/the_open_door
Otis,Tony Krantz,2008,United States,,57%,https://resizing.flixster.com/0_BZd80_XDiWzo7AWr_fs0DXkoE=/206x305/v1.bTsxMTU1MTkwMztqOzE3MzIzOzEyMDA7MzM2OzQ4Ng,https://rottentomatoes.com/m/otis
"Otto; or, Up With Dead People",Bruce LaBruce,2008,Germany & Canada,42,45%,https://resizing.flixster.com/xMTyARRRNuYksH0cWEklMxuPtX8=/206x305/v1.bTsxMjI1NDE4NTtqOzE3Mjg2OzEyMDA7MTA3NDsxNDMy,https://rottentomatoes.com/m/otto_or_up_with_dead_people
Outpost,Steve Barker,2008,United Kingdom,,,,
Parasomnia,William Malone,2008,United States,,28%,https://resizing.flixster.com/kYWZRjS2o7HiD2ZSdvf5szpuaS8=/206x305/v1.bTsxMTIzNDk1MTtqOzE3MzIwOzEyMDA7MTUyMzsyMTYx,https://rottentomatoes.com/m/parasomnia
Philosophy of a Knife,Andrey Iskanov,2008,Russia & United States,,48%,https://resizing.flixster.com/XfOE-dliKdEN83KkYkkMlZOqUIA=/206x305/v1.bTsxMTIzMzI3ODtqOzE3MzIwOzEyMDA7MTUwOTsyMTkz,https://rottentomatoes.com/m/philosophy_of_a_knife
Phoonk,Ram Gopal Varma,2008,India,,20%,https://resizing.flixster.com/3MTMSWwwrpkost71CHRtnXSAkSQ=/206x305/v1.bTsxMTU1Mzg1ODtqOzE3MzIzOzEyMDA7NDUwOzY1MQ,https://rottentomatoes.com/m/phoonk
Pig Hunt,James Isaac,2008,United States,,24%,https://resizing.flixster.com/QqrPS14C9pYVHLco5Cs106jB9s4=/206x305/v1.bTsxMTIyODI4MTtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/pig_hunt
Pink Eye,James Tucker,2008,United States,,,,
Plaguers,Brad Sykes,2008,United States,,3%,https://resizing.flixster.com/5E4MEpKlDzN1sESEfHG51nxObOU=/206x305/v1.bTsxMDg4ODk4OTtqOzE3MzE2OzEyMDA7MTAxMzsxNTAw,https://rottentomatoes.com/m/plaguers
Playing with Fire,David DeCoteau,2008,United States,,40%,https://resizing.flixster.com/WcKoOy2BjS6o1EXT0yNtT72hSz8=/206x305/v1.bTsxMjMzMDIzODtqOzE3Mjg3OzEyMDA7MjAwOzMwMA,https://rottentomatoes.com/m/playing_with_fire
Pontypool,Bruce McDonald,2008,Canada,,,,
Porn Horror Movie,Adam Fields,2008,United States,,,,
Prom Night,Nelson McCormick,2008,United States,8,38%,https://resizing.flixster.com/2ZrfGquwkDEFY9vmdDO7HZMLG6k=/206x305/v1.bTsxMTIyMjg4MztqOzE3MzE5OzEyMDA7MTAwODsxMzQ0,https://rottentomatoes.com/m/prom_night
Pulse 2: Afterlife,Joel Soisson,2008,United States,,10%,https://resizing.flixster.com/jILDRHNT0ouqkwMpeRDw1kkvMXM=/206x305/v1.bTsxMTIzNTE0ODtqOzE3MzIwOzEyMDA7MTUwMjsyMDAz,https://rottentomatoes.com/m/pulse_2_afterlife
Pulse 3: Invasion,Joel Soisson,2008,United States,,,,
Punk Rock Holocaust 2,Doug Sakmann,2008,United States,,,https://resizing.flixster.com/cTfLvcIFH7KFmjBkeS9IeTP_eh0=/206x305/v1.bTsxMTIzMDQ4MztqOzE3MzE5OzEyMDA7MTUxNjsyMTQz,https://rottentomatoes.com/m/punk-rock-holocaust-22008
Quarantine,John Erick Dowdle,2008,United States,58,44%,https://resizing.flixster.com/2CYYrfAMlEQ2cllPjLuFFMPsqdY=/206x305/v1.bTsxMTIyNDAyNDtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/1196221-quarantine
Red Canyon,Giovanni Rodriguez,2008,United States,,,,
The Red Hours,John Fallon,2008,Canada,,,,
Red Mist,Paddy Breathnach,2008,United Kingdom,,,,
Reel Zombies,David J. Francis,2008,Canada,,,,
ReGOREgitated Sacrifice,Lucifer Valentine,2008,Canada & United States,,25%,https://resizing.flixster.com/V32mKx2pErZhbkI26FNCj-ogHmM=/206x305/v1.bTsxMTE5NjE0NDtqOzE3MzE5OzEyMDA7MTUyNjsyMTgy,https://rottentomatoes.com/m/regoregitated_sacrifice
Repo! The Genetic Opera,Darren Lynn Bousman,2008,United States,35,72%,https://resizing.flixster.com/OWWZqurYwpz3glHdZjI2m0KZVuM=/206x305/v1.bTsxMTE3ODAxNztqOzE3MzE5OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/repo_the_genetic_opera
Rest Stop: Don't Look Back,Joey Mendicino,2008,United States,,23%,https://resizing.flixster.com/E_HeFOnhy0tRtyTJ1UXYBatsgo8=/206x305/v1.bTsxMTIzMzI1NztqOzE3MzIwOzEyMDA7MTk5ODsyNjY0,https://rottentomatoes.com/m/rest_stop_dont_look_back
Return to Sleepaway Camp,Robert Hiltzik,2008,United States,,21%,https://resizing.flixster.com/kpEqwwt5HH2FOxttbARrvFrDaYA=/206x305/v1.bTsxMTMwNjQ0NTtqOzE3MzIwOzEyMDA7MTUyOTsyMDM5,https://rottentomatoes.com/m/return_to_sleepaway_camp
No Man's Land: The Rise of Reeker,Dave Payne,2008,United States,,21%,https://resizing.flixster.com/QuI53ZGx5KhYi81336hKEq8f5cU=/206x305/v1.bTsxMTIzNDkzODtqOzE3MzIwOzEyMDA7MTUzOTsyMDUy,https://rottentomatoes.com/m/no_mans_land_the_rise_of_reeker
Rock Monster,Declan O'Brien,2008,United States,,,,
The Ruins,Carter B. Smith,2008,United States,48,30%,https://resizing.flixster.com/YFkXDBxSF5XPn5yMc42VL4fk4RA=/206x305/v1.bTsxMTMwMjMwMjtqOzE3MzIwOzEyMDA7MTAxMTsxMzQ4,https://rottentomatoes.com/m/the_ruins
Sasquatch Assault,Andrew Gernhard,2008,United States,,,,
Sauna,Antti-Jussi Annila,2008,Finland,,51%,https://resizing.flixster.com/zuljfmciovVl9ea5Jdg85pc2CdE=/206x305/v1.bTsxMTU1Mzk1MztqOzE3MzIzOzEyMDA7NzU5OzEwMTI,https://rottentomatoes.com/m/sauna
Saw V,David Hackl,2008,United States,12,52%,https://resizing.flixster.com/fPzq07-qDgwW4q8M28x2R9OlaCg=/206x305/v1.bTsxMTIyMjY2OTtqOzE3MzE5OzEyMDA7MTE5MTsxNTg4,https://rottentomatoes.com/m/saw_v
Sea Beast,Paul Ziller,2008,United States,,,,
Sebastian's Voodoo,Joaquin Baldwin,2008,United States,,,,
Second Coming,Jose Zambrano Cassella,2008,Honduras & United States,,13%,https://resizing.flixster.com/85tT94fYAQ-twMErvkJgv_hNeiM=/206x305/v1.bTsxMTIzODQ4OTtqOzE3MzIwOzEyMDA7MTUyNTsyMTY0,https://rottentomatoes.com/m/second_coming
Semum,Hasan Karacadağ,2008,Turkey,,24%,https://resizing.flixster.com/brqWb5q9G9glZ0uUmjjkDk8_eaE=/206x305/v1.bTsxMTE1NDQwNztqOzE3MzE5OzEyMDA7MjE0OzMxNA,https://rottentomatoes.com/m/semum
Seventh Moon,Eduardo Sanchez,2008,United States,,23%,https://resizing.flixster.com/LQ7-EFnaoybiBWGv49HRgJYvneQ=/206x305/v1.bTsxMTE3ODM4ODtqOzE3MzE5OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/ghost_house_underground_seventh_moon
Shark Swarm,James A. Contner,2008,United States,,22%,https://resizing.flixster.com/JENzFcfd325xhr7xxNfauom4Fc0=/206x305/v1.bTsxMTIzMzMwMTtqOzE3MzIwOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/shark_swarm
Shark in Venice,Danny Lerner,2008,United States,,15%,https://resizing.flixster.com/BvPrQMyaoOXSEJWHkc79XJMU-rI=/206x305/v1.bTsxMTIzNjMxNjtqOzE3MzIwOzEyMDA7MTIwMDsxNjAw,https://rottentomatoes.com/m/sharks-in-venice
Shutter,Masayuki Ochiai,2008,United States,7,33%,https://resizing.flixster.com/8EUlJMMOKUFx10PXF8gHW-Ft-Tc=/206x305/v1.bTsxMTIxOTAxMztqOzE3MzE5OzEyMDA7MTYxMTsyMTQ4,https://rottentomatoes.com/m/10009254-shutter
Slices,Steven Richards,2008,United States,,0%,https://resizing.flixster.com/8tBkNdBnOY8o-D0xUAI1SBaIJ2g=/206x305/v1.bTsxMTU1ODA5MztqOzE3MzIzOzEyMDA7MzkzOzU1OA,https://rottentomatoes.com/m/slices
Southern Gothic,Jim Shollenberger,2008,United States,,0%,https://resizing.flixster.com/JJ9y3Tz7qoAWcwRmlI6bUkqw_vE=/206x305/v1.bTsxMTU1ODA3MztqOzE3MzIzOzEyMDA7NDUwOzYwMA,https://rottentomatoes.com/m/southern_gothic
Spike,Robert Beaucage,2008,United States,,16%,https://resizing.flixster.com/uqQN5GXHmB5APU0nu2UY8KRUSiM=/206x305/v1.bTsxMTI0NDczNztqOzE3MzIwOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/spike
Spirits of the Fall,Russ Diapper,2008,United Kingdom,,,,
Splatter Movie: The Director's Cut,Amy Lynn Best,2008,United States,,,,
Splinter,Toby Wilkins,2008,United States,74,49%,https://resizing.flixster.com/9AqTmgO0l6lXXLAui_r_RcOWHnQ=/206x305/v1.bTsxMTU1NDA4MjtqOzE3MzIzOzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/10010329-splinter
Spring Break Massacre,Michael Hoffman Jr.,2008,United States,,5%,https://resizing.flixster.com/ElAy_R8td575J3QxBC-uOPCWrXs=/206x305/v1.bTsxMTA2OTAxMjtqOzE3MzE4OzEyMDA7MTQ0OzIwMw,https://rottentomatoes.com/m/spring_break_massacre
Stag Night,Peter A. Dowling,2008,United States,,,,
The Strangers,Bryan Bertino,2008,United States,45,47%,https://resizing.flixster.com/nUHW62f18CKQPT9Kuig8lRlm3Ts=/206x305/v1.bTsxMTIxODA0NztqOzE3MzE5OzEyMDA7MTA1MDsxNDAw,https://rottentomatoes.com/m/the_strangers
Strigoi,Faye Jackson,2008,United Kingdom,,31%,https://resizing.flixster.com/0ZzHVGNKvzFLHn8PKBx_lrmWR6k=/206x305/v1.bTsxMjEyNjc5ODtqOzE3Mjg1OzEyMDA7OTQ7MTQw,https://rottentomatoes.com/m/strigoi
Swamp Devil,David Winning,2008,Canada,,8%,https://resizing.flixster.com/Q7iPUzu9paHlpHV0oDC7rt-z5og=/206x305/v1.bTsxMjIyOTg0OTtqOzE3Mjg2OzEyMDA7MTUwMDsyMDAw,https://rottentomatoes.com/m/1209006-swamp_devil
Tales of the Dead,Merle Johnson,2008,United States,,,,
Terribly Happy,Jakob Cedergren,2008,Denmark,,,,
Terror Inside,Joe G. Lenders,2008,United States,,,,
Text,Brian McCulley,2008,United States,,,https://resizing.flixster.com/nVLkpcQG9QnfjebjjbLK363hm8I=/206x305/v1.bTsxMTE5NjEzNTtqOzE3MzE5OzEyMDA7MTUxMjsyMTMz,https://rottentomatoes.com/m/text
Tokyo Gore Police,Yoshihiro Nishimura,2008,United States & Japan,82,60%,https://resizing.flixster.com/XaB9s2WpNAHs9OUIxBuc20wYeYk=/206x305/v1.bTsxMTIzMDY5ODtqOzE3MzE5OzEyMDA7MTQxOTsxODky,https://rottentomatoes.com/m/tokyo_gore_police
Trailer Park of Terror,Steven Goldmann,2008,United States,,39%,https://resizing.flixster.com/6dEHeevVtbbINCBID-2BU50qa1A=/206x305/v1.bTsxMTIzNTAwNDtqOzE3MzIwOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/trailer_park_of_terror
Train,Gideon Raff,2008,United States,,,,
Treevenge,Jason Eisener,2008,Canada,,,,
Tsunami Beach Club,Anthony Fankhauser,2008,United States,,,,
The Uninvited,Bob Badway,2008,United States,,,,
Vampire Party,"Stephen Cafiero, Vincent Lobelle",2008,Belgium & Luxembourg & France,,32%,https://resizing.flixster.com/v-lTAIX4kzIiAuYSjlUhFDVGKcA=/206x305/v1.bTsxMTMxNDQzNTtqOzE3MzIwOzEyMDA7MjgzNTszNzgw,https://rottentomatoes.com/m/dents_de_la_nuit
Vampyrer,Peter Pontikis,2008,Sweden,,22%,https://resizing.flixster.com/CyREnspdpnAYhIOYrxfPmX3n8Sc=/206x305/v1.bTsxMjEyMTIzMjtqOzE3Mjg1OzEyMDA7MjAwOzI4Ng,https://rottentomatoes.com/m/vampyrer
The Violent Kind,Geoffrey Pepos,2008,United States,,31%,https://resizing.flixster.com/ksTZvDl3F7rdGwMDrL52XAmmZ-s=/206x305/v1.bTsxMTIzNTUyMztqOzE3MzIwOzEyMDA7MTQ5ODsyMTI3,https://rottentomatoes.com/m/1201937-violent_kind
Vipers,Bill Corcoran,2008,Canada & United States,,17%,https://resizing.flixster.com/c7AVE3SqtW0YnspmoK4WpoXooh8=/206x305/v1.bTsxMTMxMTI1NjtqOzE3MzIwOzEyMDA7MTE4NTsxNTgw,https://rottentomatoes.com/m/vipers
Virus Undead,"Wolf Wolff, Ohmuti",2008,Germany,,11%,https://resizing.flixster.com/2ZZrrr-28uu6UYLTCfnOgdSZTvw=/206x305/v1.bTsxMTU1ODg2NjtqOzE3MzIzOzEyMDA7NjExOzg4Mg,https://rottentomatoes.com/m/virus_undead
Wicked Lake,Zach Passero,2008,United States,,14%,https://resizing.flixster.com/9RMV5Jp5bdVeMlMZJDKUbxiN6XM=/206x305/v1.bTsxMTIzMzIzOTtqOzE3MzIwOzEyMDA7MTQ5MDsyMTMy,https://rottentomatoes.com/m/wicked_lake
The Wild Man of the Navidad,"Duane Graves, Justin Meeks",2008,United States,,28%,https://resizing.flixster.com/IPWeyl-bv--WCmAK9AkNGJSVKGA=/206x305/v1.bTsxMTIzNTIwNDtqOzE3MzIwOzEyMDA7MTUwMzsyMTY0,https://rottentomatoes.com/m/the_wild_man_of_the_navidad
Wilderness,Amy Neswald,2008,United States,2,34%,https://resizing.flixster.com/C22rmxtb-EU5MpQu5bhIIf9wwRQ=/206x305/v1.bTsxMTIxOTI5MztqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/strange_wilderness
Yeti: Curse of the Snow Demon,Paul Ziller,2008,Canada & United States,,20%,https://resizing.flixster.com/ftqArDac66Pt3dQPfX9kSGlfKHc=/206x305/v1.bTsxMTMxMzYzNztqOzE3MzIwOzEyMDA7MTUxNTsyMDIw,https://rottentomatoes.com/m/yeti
Yoroi Samurai Zombie,Tak Sakaguchi,2008,Japan,,17%,https://resizing.flixster.com/8IH-C5HRsCu82H21S-Q9jXdaeIA=/206x305/v1.bTsxMTU1NzcyOTtqOzE3MzIzOzEyMDA7MzU0OzUwMA,https://rottentomatoes.com/m/yoroi-samurai-zonbi
You're Next 3: Pajama Party Massacre,Jason Stephenson,2008,United States,,,,
Zombie Apocalypse Now: A Zombie Hunter,Germ&aacute;n Magari&ntilde;os,2008,United States,,,,
Zombie Strippers,Jay Lee,2008,United States,39,30%,https://resizing.flixster.com/Zn7EAmjOQ8NMpg-kM2aId_DEl8o=/206x305/v1.bTsxMTIyMTQ0MztqOzE3MzE5OzEyMDA7MTk5ODsyNjY0,https://rottentomatoes.com/m/zombie_strippers
Abduction,John Orrichio,2009,United States,,47%,https://resizing.flixster.com/ir2dSiM7-lTSeaabaiFBYakmozM=/206x305/v1.bTsxMTI0MDE0ODtqOzE3MzIwOzEyMDA7MTUyMDsyMTQ5,https://rottentomatoes.com/m/abduction
Abundant Sunshine,,2009,United States,,,,
Agyaat,Ram Gopal Verma,2009,India,,29%,https://resizing.flixster.com/LXg_D87t8gLvck70WdPW3Y-5OdY=/206x305/v1.bTsxMjMxODk3MDtqOzE3Mjg3OzEyMDA7MjQwOzI0MA,https://rottentomatoes.com/m/agyaat
Air terjun pengantin,Rizal Mantovani,2009,Indonesia,,9%,https://resizing.flixster.com/VO2DnbbYL5iJTVvh9cFdxIpTdtY=/206x305/v1.bTsxMTU2MjU4NztqOzE3MzIzOzEyMDA7Mzg0OzI4OA,https://rottentomatoes.com/m/brides_waterfall
Albino Farm,"Sean McEwen, Joe Anderson",2009,United States,,12%,https://resizing.flixster.com/Db77czzvMDCIxSmiLKGS7C3CMxA=/206x305/v1.bTsxMTIzOTY5MztqOzE3MzIwOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/albino_farm
All About Evil,Joshua Grannell,2009,United States,,69%,https://resizing.flixster.com/S-P8tIO76EwYGskqRp1RxORQMZ4=/206x305/v1.bTsxMTU1NzU4NTtqOzE3MzIzOzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/all_about_evil
Antichrist,Lars von Trier,2009,Denmark & France & Germany & Italy & Poland & Sweden,50,55%,https://resizing.flixster.com/EW9VeAf0Rmvnskk9DxY5l-HBNcw=/206x305/v1.bTsxMjE5NTUzNTtqOzE3Mjg2OzEyMDA7NTIxOzc1NQ,https://rottentomatoes.com/m/1210830-antichrist
Are You Scared 2,"John Lands, Russell Appling",2009,United States,,8%,https://resizing.flixster.com/_upDrPTt-RMG5vpHncp2bTrW9is=/206x305/v1.bTsxMTIzNjk2NTtqOzE3MzIwOzEyMDA7MTQ5MjsxOTg5,https://rottentomatoes.com/m/are_you_scared_2
Basement Jack,Michael Shelton,2009,United States,,,,
Bedtime Ghost Tales,J.R. Thomas,2009,,,,https://resizing.flixster.com/xUHNC8dN2RdX3cRwLWW0Wc8FVy8=/206x305/v1.bTsxMTA2NTk0NTtqOzE3MzE4OzEyMDA7MTQ0OzIwNA,https://rottentomatoes.com/m/bedtime_ghost_tales
Bigfoot,Bob Gray,2009,United States,,,,
Bikini Frankenstein,,2009,United States,,,,
Bikini Girls on Ice,Geoff Klein,2009,Canada,,,,
Birdemic: Shock and Terror,James Nguyen,2009,United States,,,,
Black Devil Doll,Jonathan Lewis,2009,United States,,34%,https://resizing.flixster.com/PM0deHZh3nZQzTQt7eCKGHgrjHM=/206x305/v1.bTsxMjI1NzMzMztqOzE3Mjg2OzEyMDA7NTMzOzgwMA,https://rottentomatoes.com/m/black_devil_doll_2009
The Black Waters of Echo's Pond,Gabriel Bologna,2009,United States,,,,
Bleed with Me,,2009,United States,,,https://resizing.flixster.com/B2ifWzImoB8u8bJrauuiwkj8x7I=/206x305/v1.bTsxMTA2NzAzNTtqOzE3MzE4OzEyMDA7MTQ0OzIwMw,https://rottentomatoes.com/m/bleed_with_me
The Bleeding,Charles Picerni,2009,United States,,,,
Blood Creek,Joel Schumacher,2009,United States,43,30%,https://resizing.flixster.com/67GfG5WxlCIAqryE4cnmaypx5uc=/206x305/v1.bTsxMTMxNzcyNjtqOzE3MzIwOzEyMDA7MTYzODsyMTg0,https://rottentomatoes.com/m/1190517-1190517-town_creek
Blood: The Last Vampire,Chris Nahon,2009,France & Hong Kong,22,33%,https://resizing.flixster.com/desAjtI0BJ0oXdvKREKxGvm9q94=/206x305/v1.bTsxMTIxODA5MDtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/10011388-blood_the_last_vampire
Blood Moon Rising,Brian Skiba,2009,United States,,18%,https://resizing.flixster.com/b8wNES2qLgieIp7ZgcLpCFJLh7g=/206x305/v1.bTsxMjMxOTAxMDtqOzE3Mjg3OzEyMDA7Mjg0OzQwNQ,https://rottentomatoes.com/m/blood_moon_rising
A Blood Pledge,Lee Jong-yong,2009,South Korea,,56%,https://resizing.flixster.com/5MgjkXRMXGRD7CTLRkrogf_gxV4=/206x305/v1.bTsxMjEyNTc5NjtqOzE3Mjg1OzEyMDA7Mjg0OzQwNQ,https://rottentomatoes.com/m/whispering-corridors-5-a-blood-pledge
Blood Red Moon,Scott Patrick,2009,Canada,,,,
Blood Ties,Nathaniel Nose,2009,United States,,,https://resizing.flixster.com/IO8U7yjnmJxnBQiX6BB9cubrigM=/206x305/v1.bTsxMTE5NjAzMDtqOzE3MzE5OzEyMDA7MTQ5OTsyMTM1,https://rottentomatoes.com/m/blood_ties-2009
